Column_A,Column_B
3.76,0.24
6.7,8.16
4.1,7.45
6.07,9.44
2.26,4.63
1.33,1.25
6.08,9.8
2.87,0.72
1.35,0.73
5.97,9.26
5.44,3.79
4.95,3.69
7.64,3.44
0.99,2.12
8.92,7.46
1.04,6.96
8.35,1.4
9.73,9.44
0.85,1.41
1.75,3.84
4.49,3.39
3.04,8.23
9.4,3.1
3.97,3.67
4.73,0.09
7.41,7.94
5.75,8.53
8.69,2.75
6.77,7.36
2.68,6.91
8.96,2.99
3.64,2.5
4.36,8.39
2.23,3.88
5.66,8.13
9.47,5.18
4.54,1.44
0.36,2.16
9.31,9.47
6.07,0.19
6.24,7.11
5.41,7.01
9.27,3.34
1.84,7.01
0.43,1.51
2.83,5.83
8.81,0.76
9.63,4.75
7.27,2.52
9.63,7.87
7.43,7.13
2.06,4.6
9.99,4.66
8.8,0.12
9.57,8.74
5.0,8.09
0.84,0.04
9.49,5.27
6.28,1.09
4.1,4.15
4.59,9.89
5.43,0.64
6.61,0.23
6.01,9.11
0.85,3.46
3.08,7.36
1.14,1.54
4.19,0.92
0.74,8.76
0.83,4.48
9.82,2.1
7.39,4.62
5.14,0.74
0.35,0.72
3.2,0.05
7.42,1.6
4.57,1.9
2.14,9.34
7.74,4.86
8.8,3.32
0.82,4.71
3.07,7.94
3.4,6.07
0.92,5.82
1.25,8.87
8.91,7.56
3.41,2.11
7.18,3.34
8.4,6.71
1.26,5.41
6.76,1.74
2.0,2.83
1.23,1.77
4.0,7.06
8.94,7.05
1.77,7.92
4.15,4.8
5.32,5.08
8.06,2.92
1.39,3.58
8.32,9.1
8.52,3.03
8.37,6.18
4.9,1.93
0.44,4.25
1.02,8.19
2.79,1.39
7.62,3.13
4.29,0.55
2.32,0.38
2.86,7.76
8.68,2.73
2.11,7.75
2.41,4.19
1.48,8.44
2.94,3.35
4.7,1.46
0.47,5.08
6.23,2.74
3.7,0.65
1.7,9.2
5.11,0.41
1.72,3.05
7.56,9.1
0.37,9.64
7.37,0.32
3.84,2.31
7.63,2.38
0.6,9.5
6.33,2.69
6.07,9.71
2.81,3.88
0.73,6.07
2.71,9.58
6.9,9.03
0.61,6.78
4.25,6.33
2.67,8.03
3.74,8.41
3.06,3.54
0.44,4.48
7.1,9.65
9.42,2.73
4.92,4.1
5.41,2.16
3.92,5.32
5.56,7.38
3.56,0.01
3.44,8.45
6.72,5.45
1.73,0.85
8.64,0.04
7.37,7.83
7.71,9.23
4.4,7.88
0.17,1.53
5.54,1.57
8.01,6.01
7.79,4.82
3.13,7.87
3.87,2.03
5.28,6.54
2.78,7.66
2.99,5.87
0.82,6.27
0.11,4.42
6.72,6.31
7.6,4.39
1.17,7.91
7.35,7.7
5.58,5.94
3.32,9.93
1.31,7.21
9.25,8.18
3.08,6.8
9.77,6.28
2.1,7.74
5.04,5.2
1.2,4.42
4.14,4.94
8.34,2.95
0.17,9.4
9.72,3.41
4.41,9.37
9.56,7.71
7.24,0.17
5.47,5.8
3.01,6.32
6.22,9.55
7.2,7.05
3.55,4.75
3.92,2.77
7.64,0.09
9.78,7.14
7.33,2.54
3.89,6.26
9.67,2.65
7.01,3.96
0.06,7.7
0.66,7.43
9.64,3.73
4.72,4.96
0.3,5.9
8.29,3.54
6.58,4.89
7.92,1.87
3.89,3.35
4.0,5.61
2.04,0.96
8.6,8.94
4.21,4.38
2.26,4.15
0.45,3.62
9.58,0.24
7.92,0.51
1.57,5.96
7.2,3.14
8.37,5.24
9.6,7.3
8.62,3.2
4.32,7.65
5.9,9.93
2.78,6.71
7.32,3.34
6.65,6.71
0.73,9.36
2.76,3.68
7.24,4.57
4.23,0.21
5.08,6.05
1.39,9.88
2.22,6.78
6.83,5.0
4.29,4.48
8.8,4.21
6.78,8.44
3.2,1.22
1.57,2.27
4.38,4.38
5.59,0.2
2.48,7.45
5.1,5.5
5.21,5.31
7.07,1.37
8.03,8.46
4.16,0.47
9.97,1.94
8.35,0.6
6.39,9.74
6.64,3.51
3.03,1.37
6.16,0.03
2.63,2.47
9.59,2.74
1.34,2.19
2.53,8.66
5.65,5.87
8.45,9.97
4.54,9.01
1.3,6.89
6.9,4.75
1.68,3.44
2.28,7.34
7.28,3.78
2.67,4.12
4.96,7.36
5.54,5.13
8.87,7.57
9.02,3.63
5.28,3.27
5.54,2.22
1.93,4.39
6.7,6.1
2.56,7.07
8.89,0.1
3.73,0.64
8.93,0.89
5.24,6.9
4.71,0.41
6.62,0.23
7.29,4.22
4.92,8.0
7.7,3.99
7.14,7.52
0.82,7.48
