Column_A,Column_B
5.44,1.85
4.18,4.31
6.59,7.47
3.05,0.06
1.18,0.9
3.02,8.18
8.89,0.36
4.68,1.16
5.44,6.51
2.67,4.39
6.42,2.28
3.29,7.91
8.83,3.45
1.79,0.38
3.91,5.4
7.41,5.7
7.63,1.4
0.44,0.13
0.75,0.72
8.32,1.04
1.75,2.75
3.37,9.75
5.17,5.82
0.71,0.9
6.55,9.05
7.18,8.38
7.79,2.98
9.0,3.47
0.7,9.62
1.04,8.06
6.98,5.48
4.45,2.63
2.26,9.5
6.57,9.38
9.95,6.81
5.36,5.71
4.97,4.43
8.39,0.73
9.97,7.69
2.22,1.44
9.95,0.97
6.31,6.25
9.47,8.88
6.16,1.6
2.24,9.53
0.88,9.94
7.72,9.23
0.26,7.11
3.11,1.87
7.62,6.52
4.68,1.82
2.91,0.26
3.52,5.89
7.93,9.85
9.68,7.19
7.16,9.2
6.94,8.92
3.8,7.55
2.28,1.29
6.66,0.07
8.96,7.19
3.42,2.31
5.07,1.14
5.32,5.79
9.47,6.55
2.68,2.65
0.38,5.05
2.81,3.28
8.95,6.58
3.96,8.64
2.98,6.78
9.04,0.1
9.48,1.37
0.35,5.02
3.82,4.78
0.21,5.62
7.6,3.93
8.15,5.19
1.85,1.57
1.05,0.38
8.48,8.38
2.97,5.37
4.87,8.48
6.99,5.23
8.42,2.0
9.32,5.49
7.71,8.91
5.55,4.81
8.25,2.09
0.91,8.5
1.06,8.65
0.64,4.24
8.72,5.89
1.4,5.49
5.92,4.54
2.01,7.78
1.82,5.33
2.83,6.96
0.8,9.3
3.49,1.57
3.84,6.63
1.59,3.98
4.13,3.9
5.88,1.24
0.09,4.98
2.87,8.25
9.54,0.15
2.3,9.1
2.58,1.28
1.27,5.4
0.19,6.37
0.78,3.64
4.15,2.98
5.27,4.52
7.18,1.09
6.21,8.71
1.59,3.58
1.7,7.74
5.88,2.48
5.4,9.8
8.43,3.87
3.17,8.51
0.59,7.47
3.46,4.28
0.07,3.37
6.42,3.29
2.75,1.95
3.74,3.59
9.57,9.11
1.82,2.47
6.19,1.9
9.47,6.38
6.83,4.92
1.09,1.14
3.68,3.59
8.13,4.42
3.73,8.71
3.41,8.63
4.48,5.16
0.89,8.3
5.49,8.01
3.73,4.83
3.86,9.38
7.09,6.3
7.6,3.42
5.89,3.38
7.52,2.96
1.3,5.07
6.2,1.05
0.79,4.26
0.36,0.81
3.37,4.23
0.89,9.29
0.67,6.69
5.66,0.81
0.89,3.03
0.58,3.38
5.39,6.89
3.52,8.65
4.9,9.68
3.4,2.19
7.23,8.17
4.9,2.2
5.77,6.37
5.87,2.02
1.53,0.49
3.82,1.41
8.4,1.79
1.07,0.31
8.21,0.34
2.3,6.55
2.6,9.6
4.26,8.43
2.78,3.98
7.41,5.25
0.45,3.43
2.14,4.97
1.75,1.94
2.36,6.94
9.77,4.62
0.32,5.55
8.17,1.51
4.45,9.99
1.46,2.13
0.49,4.42
7.2,2.16
6.85,3.35
4.21,4.5
5.75,9.98
4.79,8.27
5.43,2.86
2.57,7.11
1.22,5.55
8.53,3.4
7.04,3.31
3.58,7.54
1.1,1.92
2.81,7.71
9.5,6.95
4.21,6.27
7.18,5.22
7.19,3.9
9.55,6.89
4.44,2.1
4.24,1.56
3.28,0.58
1.14,8.26
7.28,3.85
1.59,8.94
9.01,0.5
0.58,3.3
7.41,8.59
3.02,0.99
5.29,1.8
4.83,4.56
4.69,0.24
5.31,8.02
8.0,7.98
0.03,7.26
2.21,7.02
6.72,6.53
8.48,4.35
9.55,7.13
2.74,0.26
0.84,0.55
7.83,4.69
0.99,1.13
3.59,4.37
3.69,7.82
0.48,6.68
6.84,7.98
6.82,7.4
6.97,1.76
4.17,5.36
5.05,1.91
7.97,6.0
2.86,8.27
2.36,6.9
1.95,4.36
4.85,2.42
7.8,7.09
2.71,0.06
4.48,1.46
5.65,1.35
6.04,7.29
1.44,4.31
7.94,7.81
7.68,3.56
0.13,0.16
8.19,3.97
4.84,9.63
4.96,6.75
5.49,9.1
2.65,8.53
0.09,7.6
3.49,7.15
5.12,7.36
5.86,2.92
9.31,5.97
0.59,5.64
4.91,0.29
8.92,4.19
8.97,4.18
0.27,3.26
2.81,9.22
7.21,0.64
3.71,5.09
8.51,5.92
8.92,3.29
9.8,8.16
2.08,4.47
7.94,8.34
0.31,6.18
5.66,1.64
6.3,6.48
8.04,1.0
0.89,7.14
1.59,2.02
1.32,4.41
9.29,6.18
0.95,8.42
3.25,6.29
1.22,3.08
1.21,8.4
6.99,2.11
1.42,6.45
9.69,4.63
5.2,6.24
2.58,3.69
1.89,4.79
8.11,2.34
3.22,3.85
9.16,7.22
2.85,8.96
0.86,8.16
2.76,8.5
7.73,9.29
4.42,9.6
2.44,4.39
3.01,3.0
0.63,8.2
5.0,8.45
1.99,2.72
5.12,7.18
0.03,7.69
6.32,6.99
8.58,0.83
2.21,9.41
9.94,0.58
0.89,7.26
0.7,6.35
9.84,1.58
3.91,5.67
6.71,9.84
1.67,5.53
9.81,7.31
9.74,5.44
6.84,4.34
0.54,2.21
2.63,3.15
8.21,0.82
4.61,9.82
0.98,0.05
8.9,3.77
9.82,7.19
6.6,1.44
5.8,6.63
0.6,1.8
4.77,8.81
5.89,1.19
4.68,8.52
1.71,2.07
3.36,0.25
6.49,2.65
4.66,8.33
4.66,7.12
0.63,4.54
6.8,7.35
5.72,7.52
5.98,9.58
4.04,7.69
5.97,1.45
0.43,1.91
7.14,5.26
1.1,8.81
9.61,2.56
9.56,3.9
1.76,5.32
2.25,1.7
8.87,7.38
1.62,3.91
4.12,3.67
9.59,4.21
5.89,8.29
2.24,6.24
6.39,5.0
9.39,4.76
7.01,1.77
8.94,7.72
3.35,1.14
3.94,7.83
5.21,8.5
1.92,7.54
1.36,8.57
7.52,4.27
7.36,9.02
1.81,2.05
3.6,0.89
8.6,1.9
2.17,6.57
9.92,5.13
3.77,8.26
7.2,2.69
6.11,0.37
9.6,0.92
5.74,5.92
1.25,0.9
9.84,3.2
6.35,0.54
8.6,1.48
5.31,5.88
2.89,0.57
9.96,3.92
5.21,1.3
9.09,5.71
9.79,1.44
9.8,1.05
9.8,3.19
2.98,4.3
0.24,3.39
3.63,9.4
7.76,9.42
9.81,2.04
0.68,6.46
7.29,6.68
0.74,7.14
2.41,1.37
5.43,2.9
9.48,6.51
4.57,9.35
4.11,2.93
7.09,9.34
7.37,7.78
7.65,6.96
5.56,2.83
9.65,8.1
6.62,7.65
9.0,7.47
8.79,5.66
6.16,2.19
2.07,8.54
0.55,6.73
1.87,8.73
7.73,5.61
0.4,8.43
8.97,8.74
3.01,5.03
7.55,8.14
5.25,7.18
1.49,3.6
0.79,6.52
6.87,1.92
6.01,9.44
4.21,4.91
3.76,2.46
9.42,7.05
7.25,3.89
6.82,0.64
1.12,0.56
1.92,8.45
7.51,5.62
9.12,1.09
0.38,2.81
4.61,7.8
9.16,7.01
1.26,7.78
6.5,8.36
6.36,5.91
0.29,8.61
9.26,6.28
7.53,5.34
9.43,5.45
3.82,2.94
9.5,3.51
2.26,1.67
8.96,5.49
6.76,0.75
4.7,5.92
8.83,1.68
2.4,0.3
9.51,6.23
4.35,6.25
5.4,5.6
6.73,2.67
2.25,6.3
8.29,0.74
3.65,6.83
1.05,0.01
2.28,0.46
9.74,9.6
7.5,5.84
7.53,1.07
7.98,1.7
9.54,5.26
5.04,6.02
3.12,3.35
7.57,8.99
8.84,6.61
9.74,7.71
1.79,6.61
2.53,0.78
0.5,5.98
8.25,3.17
9.23,7.19
5.17,4.05
5.74,7.64
0.36,2.16
5.25,5.96
2.75,0.92
1.07,8.61
7.82,3.24
8.21,2.79
2.9,3.2
2.96,2.64
5.61,8.66
4.98,6.19
3.07,8.44
6.73,3.63
7.54,3.5
9.32,2.1
6.3,5.98
6.01,8.0
9.78,3.15
5.77,4.81
3.4,1.07
9.01,0.92
9.18,6.94
1.59,3.27
5.89,4.24
1.01,5.24
6.11,1.16
5.73,2.58
1.47,1.03
9.48,3.25
2.24,4.06
0.86,6.07
1.98,4.5
5.34,9.71
8.96,2.36
2.53,7.81
3.15,4.66
9.84,5.37
0.39,8.38
1.27,0.91
7.99,5.28
6.02,6.0
1.33,1.05
0.94,1.47
9.37,8.64
6.01,6.19
4.03,1.98
5.84,4.94
9.37,7.24
8.2,4.43
5.3,5.34
0.17,1.61
1.12,0.67
3.34,0.42
9.02,0.68
5.43,9.7
5.54,4.66
7.17,4.43
1.7,1.69
5.71,0.34
8.02,0.46
7.3,6.94
2.47,4.21
2.61,6.83
7.99,1.12
3.17,3.56
0.85,5.95
2.7,3.16
8.55,3.85
7.76,4.9
3.81,5.62
9.88,3.39
0.46,5.86
6.05,2.76
2.87,8.56
3.59,3.96
6.24,5.4
0.82,1.64
8.22,7.5
6.32,8.53
0.17,3.5
3.41,4.4
8.27,2.19
7.01,6.98
1.17,2.32
8.99,9.41
4.13,5.81
0.68,0.04
3.77,0.41
9.87,7.76
2.19,6.13
3.08,7.49
6.14,0.3
0.94,4.69
5.48,2.37
8.79,2.72
8.61,2.95
4.1,4.71
1.81,2.46
9.74,7.87
9.62,8.18
3.33,9.36
9.64,8.87
5.2,7.5
0.75,9.0
6.05,8.57
0.42,9.43
9.16,6.42
5.49,3.29
0.37,5.98
1.57,9.05
5.06,3.46
4.4,4.22
0.74,2.49
2.5,0.16
5.28,9.31
9.96,3.43
3.05,6.9
9.42,9.1
2.37,2.45
4.71,4.84
7.91,7.57
1.92,2.42
9.43,7.86
0.5,2.71
5.09,6.06
7.62,4.63
0.34,0.37
9.41,7.86
4.81,4.07
4.11,8.15
3.8,9.5
9.42,3.03
2.65,0.52
1.42,0.97
0.6,9.55
0.33,2.6
5.97,8.52
7.87,5.42
1.3,1.44
8.62,0.84
0.7,4.4
4.29,7.64
8.68,7.03
2.71,6.55
2.58,5.01
0.93,4.54
5.42,2.22
0.08,3.5
7.14,4.36
1.87,7.63
7.63,6.73
6.58,2.03
1.71,9.12
5.65,2.7
1.69,3.08
7.81,0.25
2.44,0.14
1.12,0.49
5.39,3.63
3.91,6.82
7.66,3.47
8.77,5.89
4.79,3.55
4.41,4.67
1.87,0.94
2.74,9.38
3.34,7.59
2.92,0.78
6.16,7.3
4.79,7.17
5.24,3.99
5.85,7.87
6.85,4.77
5.49,8.52
9.1,6.84
4.06,6.65
4.84,9.17
0.44,1.52
6.5,2.84
3.43,0.27
6.46,3.96
8.01,2.44
7.65,9.63
2.81,5.1
7.81,0.6
4.85,0.11
1.16,7.45
8.83,6.19
6.47,5.65
9.01,2.09
8.5,9.75
6.31,5.88
8.58,7.28
3.95,5.06
2.86,4.62
4.34,5.29
3.08,5.23
0.14,9.01
9.74,5.33
1.44,3.42
1.99,9.26
8.61,2.59
1.81,6.08
9.2,4.98
6.57,3.34
0.61,9.04
4.7,0.32
